Date,Price,Return
2015-01-02,4.984857082366943,
2015-01-05,4.731142997741699,-0.05089696262761734
2015-01-06,4.650143146514893,-0.017120567115699092
2015-01-07,4.674285888671875,0.0051918277343949715
2015-01-08,4.7779998779296875,0.022188199808052644
2015-01-09,4.704143047332764,-0.01545768783672008
2015-01-12,4.554714202880859,-0.03176537000434754
2015-01-13,4.625570774078369,0.015556754615403401
2015-01-14,4.631999969482422,0.0013899247721127495
2015-01-15,4.625143051147461,-0.0014803364378535022
2015-01-16,4.819142818450928,0.04194459828768693
2015-01-20,4.9828572273254395,0.03397168646832838
2015-01-21,5.846857070922852,0.17339446108536527
2015-01-22,6.120571136474609,0.04681388004385667
2015-01-23,6.249429225921631,0.021053278619557414
2015-01-26,6.379428863525391,0.020801841720927472
2015-01-27,6.488142967224121,0.01704135370492299
2015-01-28,6.320857048034668,-0.025783328147133022
2015-01-29,6.340000152587891,0.0030285615396372645
2015-01-30,6.311429023742676,-0.004506487091100908
2015-02-02,6.301000118255615,-0.0016523841823822272
2015-02-03,6.527429103851318,0.03593540411778129
2015-02-04,6.41014289855957,-0.01796820822190881
2015-02-05,6.413000106811523,0.00044573238025558126
2015-02-06,6.3480000495910645,-0.010135670690449516
2015-02-09,6.329570770263672,-0.0029031630723727053
2015-02-10,6.485000133514404,0.02455606689492118
2015-02-11,6.498428821563721,0.0020707305740699233
2015-02-12,6.52471399307251,0.004044850260045418
2015-02-13,6.658570766448975,0.02051534726557902
2015-02-17,6.713714122772217,0.0082815604515456
2015-02-18,6.786571025848389,0.01085195195146138
2015-02-19,6.78000020980835,-0.0009682085422832998
2015-02-20,6.8314290046691895,0.007585367738844662
2015-02-23,6.740571022033691,-0.013299996614675735
2015-02-24,6.783999919891357,0.006442910803210022
2015-02-25,6.833285808563232,0.0072650190527514535
2015-02-26,6.900428771972656,0.009825867860712378
2015-02-27,6.78442907333374,-0.016810505907990825
2015-03-02,6.860713958740234,0.01124411274433279
2015-03-03,6.781570911407471,-0.011535686782559895
2015-03-04,6.710999965667725,-0.010406282948547618
2015-03-05,6.680714130401611,-0.004512864762487023
2015-03-06,6.487429141998291,-0.02893178552929654
2015-03-09,6.366143226623535,-0.018695528339504386
2015-03-10,6.215143203735352,-0.02371923117543029
2015-03-11,6.288428783416748,0.011791454722612116
2015-03-12,6.404571056365967,0.018469203826478653
2015-03-13,6.262856960296631,-0.02212702378069109
2015-03-16,6.028142929077148,-0.037477150237894885
2015-03-17,5.978857040405273,-0.008175965509069294
2015-03-18,6.0445709228515625,0.010991044275217243
2015-03-19,6.074429035186768,0.0049396578708880146
2015-03-20,6.118570804595947,0.007266817861149466
2015-03-23,6.0714287757873535,-0.007704745162576687
2015-03-24,6.261143207550049,0.031247081826813128
2015-03-25,6.025000095367432,-0.03771565421117695
2015-03-26,5.975142955780029,-0.008275043783939062
2015-03-27,5.925285816192627,-0.008344091506492401
2015-03-30,6.03671407699585,0.018805550358214074
2015-03-31,5.952713966369629,-0.013914873150332019
2015-04-01,5.901713848114014,-0.008567540544320629
2015-04-02,5.91542911529541,0.002323946489845463
2015-04-06,6.0329999923706055,0.01987529134128141
2015-04-07,6.049428939819336,0.002723180419278437
2015-04-08,6.304999828338623,0.04224710977874868
2015-04-09,6.278571128845215,-0.004191705029811588
2015-04-10,6.493856906890869,0.03428897652470342
2015-04-13,6.7811431884765625,0.04423970002801325
2015-04-14,6.838714122772217,0.008489856753576053
2015-04-15,6.792285919189453,-0.006789025356121026
2015-04-16,8.02928638458252,0.18211843260283156
2015-04-17,8.164999961853027,0.016902321174033563
2015-04-20,8.105570793151855,-0.007278526513022077
2015-04-21,8.006285667419434,-0.012248998653654919
2015-04-22,7.966856956481934,-0.004924719473594408
2015-04-23,7.986570835113525,0.002474486329963721
2015-04-24,7.977142810821533,-0.0011804846518784773
2015-04-27,8.086856842041016,0.013753549838752877
2015-04-28,8.043713569641113,-0.005334986539592745
2015-04-29,8.040714263916016,-0.00037287574938249524
2015-04-30,7.949999809265137,-0.011281890099984593
2015-05-01,7.957571029663086,0.0009523547898864226
2015-05-04,7.927143096923828,-0.0038237714279687474
2015-05-05,8.079285621643066,0.019192604808443203
2015-05-06,8.00771427154541,-0.008858623577551072
2015-05-07,8.074856758117676,0.008384725565302675
2015-05-08,8.208571434020996,0.01655938673697177
2015-05-11,8.427857398986816,0.026714266511341345
2015-05-12,8.337714195251465,-0.010695862479375706
2015-05-13,8.287285804748535,-0.006048227286520547
2015-05-14,8.383570671081543,0.01161838370263979
2015-05-15,8.760713577270508,0.044985951808086844
2015-05-18,8.826713562011719,0.007533631154481135
2015-05-19,8.806857109069824,-0.0022495861910997172
2015-05-20,8.878999710083008,0.008191639777927806
2015-05-21,8.900285720825195,0.0023973433311428316
2015-05-22,8.883856773376465,-0.0018458898920840072
2015-05-26,8.799285888671875,-0.009519613706294283
2015-05-27,8.985713958740234,0.02118672724435111
2015-05-28,8.950714111328125,-0.003895054702700129
2015-05-29,8.915143013000488,-0.003974107304200225
2015-06-01,8.900285720825195,-0.0016665231453525386
2015-06-02,8.913000106811523,0.0014285368341129256
2015-06-03,8.880857467651367,-0.0036062648687271714
2015-06-04,8.934857368469238,0.0060804827703369035
2015-06-05,9.045999526977539,0.012439164266966118
2015-06-08,8.960429191589355,-0.009459467152633683
2015-06-09,9.244999885559082,0.031758600830955386
2015-06-10,9.587142944335938,0.037008443808776104
2015-06-11,9.509428977966309,-0.008106061088360206
2015-06-12,9.44185733795166,-0.007105751583109221
2015-06-15,9.343143463134766,-0.010454921238866044
